date,S,K,T,type,price,se
2023-01-18,3349.400000,2679.520000,0.082192,C,680.897339,0.032652
2023-01-18,3349.400000,2679.520000,0.082192,P,0.011015,0.002086
2023-01-18,3349.400000,3014.460000,0.082192,C,351.456586,0.081571
2023-01-18,3349.400000,3014.460000,0.082192,P,4.136621,0.052305
2023-01-18,3349.400000,3349.400000,0.082192,C,94.707639,0.225061
2023-01-18,3349.400000,3349.400000,0.082192,P,80.954032,0.194847
2023-01-18,3349.400000,3684.340000,0.082192,C,8.675757,0.088962
2023-01-18,3349.400000,3684.340000,0.082192,P,328.488509,0.061160
2023-01-18,3349.400000,4019.280000,0.082192,C,0.229282,0.012963
2023-01-18,3349.400000,4019.280000,0.082192,P,653.608393,0.029611
2023-01-18,3349.400000,2679.520000,0.246575,C,705.133991,0.134062
2023-01-18,3349.400000,2679.520000,0.246575,P,2.370282,0.046470
2023-01-18,3349.400000,3014.460000,0.246575,C,400.006085,0.273660
2023-01-18,3349.400000,3014.460000,0.246575,P,28.078329,0.178506
2023-01-18,3349.400000,3349.400000,0.246575,C,172.587447,0.409653
2023-01-18,3349.400000,3349.400000,0.246575,P,131.495645,0.318934
2023-01-18,3349.400000,3684.340000,0.246575,C,54.081481,0.299047
2023-01-18,3349.400000,3684.340000,0.246575,P,343.825633,0.204132
2023-01-18,3349.400000,4019.280000,0.246575,C,12.324957,0.146215
2023-01-18,3349.400000,4019.280000,0.246575,P,632.905063,0.077585
2023-01-18,3349.400000,2679.520000,0.493151,C,747.968190,0.317376
2023-01-18,3349.400000,2679.520000,0.493151,P,12.723803,0.131464
2023-01-18,3349.400000,3014.460000,0.493151,C,468.348472,0.485757
2023-01-18,3349.400000,3014.460000,0.493151,P,59.886279,0.295479
2023-01-18,3349.400000,3349.400000,0.493151,C,255.670345,0.607446
2023-01-18,3349.400000,3349.400000,0.493151,P,173.990346,0.425788
2023-01-18,3349.400000,3684.340000,0.493151,C,121.348409,0.528640
2023-01-18,3349.400000,3684.340000,0.493151,P,366.450606,0.340187
